Topic,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
Topic 1,қан,тіл,дүние,ана,өмір,көңіл,қыс,өл,апа,құдай
Topic 2,үй,қонақ,төр,киіз,кемпір,шай,қора,ірге,апа,шам
Topic 3,қыз,сұлу,күлкі,ұл,күйеу,шаш,қызық,ғашық,өлең,көңіл
Topic 4,ел,жұрт,болыс,халық,көш,мал,ер,ұлық,ру,би
Topic 5,ауыл,мал,көш,бай,қон,жылқы,жалғыз,қыста,хабар,қонақ
Topic 6,хан,батыр,орда,жәнібек,сұлтан,қыпшақ,ру,әскер,керей,би
Topic 7,жан,тірі,өл,жүрек,ая,қина,дүние,жар,кеуде,жұм
Topic 8,ой,бай,көңіл,кітап,ақыл,ар,аңғар,дұрыс,сұрақ,өмір
Topic 9,қазақ,орыс,халық,газет,тіл,патша,комитет,ақмола,омбы,алашорда
Topic 10,жас,жыла,келіншек,мырза,әйел,көңіл,жүрек,сұлу,жиырма,қонақ
Topic 11,су,тас,өзен,жаға,құй,тау,мұз,теңіз,құдық,көл
Topic 12,жау,генерал,командир,соғыс,дивизия,солдат,жолдас,оқ,полк,армия
Topic 13,жер,көк,аспан,тау,көш,туған,дала,тас,шөп,ағаш
